timestamp,temperature,humidity,vocIndex,noxIndex,pm1_0,pm2_5,pm4_0,pm10,co2,dewPoint,heatIndex,absoluteHumidity,twa_pm1_0,twa_pm2_5,twa_pm4_0,twa_pm10
1564,23.07,27.43,101.0,1.0,0.50,0.70,0.90,1.00,405.0,3.27,23.07,5.657,0.73,0.98,1.16,1.26
1584,23.03,27.44,101.0,1.0,0.50,0.70,0.90,1.00,406.0,3.24,23.03,5.648,0.73,0.98,1.16,1.26
1604,22.99,27.45,101.0,1.0,0.60,0.80,1.00,1.10,408.0,3.21,22.99,5.637,0.73,0.98,1.16,1.26
1624,22.94,27.47,101.0,1.0,0.70,0.90,1.10,1.20,405.0,3.18,22.94,5.625,0.73,0.98,1.16,1.26
1644,22.90,27.50,101.0,1.0,0.70,0.90,1.10,1.20,404.0,3.16,22.90,5.617,0.73,0.98,1.16,1.26
1664,22.85,27.54,101.0,1.0,0.70,0.90,1.10,1.20,404.0,3.14,22.85,5.611,0.73,0.98,1.16,1.26
1684,22.79,27.58,100.0,1.0,0.70,1.00,1.30,1.40,406.0,3.11,22.79,5.599,0.73,0.98,1.16,1.26
1704,22.75,27.62,100.0,1.0,0.70,1.00,1.30,1.40,409.0,3.09,22.75,5.595,0.72,0.98,1.16,1.26
1724,22.72,27.66,100.0,1.0,0.70,0.90,1.10,1.20,408.0,3.09,22.72,5.593,0.72,0.98,1.16,1.26
1745,22.69,27.70,100.0,1.0,0.60,0.80,1.00,1.10,407.0,3.09,22.69,5.593,0.72,0.97,1.16,1.26
1765,22.67,27.74,100.0,1.0,0.50,0.70,0.90,1.00,405.0,3.09,22.67,5.593,0.72,0.97,1.15,1.25
1785,22.65,27.79,100.0,1.0,0.50,0.70,0.90,1.00,400.0,3.09,22.65,5.597,0.72,0.97,1.15,1.25
1805,22.63,27.84,100.0,1.0,0.50,0.70,0.90,1.00,400.0,3.10,22.63,5.601,0.72,0.96,1.15,1.25
1825,22.60,27.89,100.0,1.0,0.50,0.70,0.90,1.00,401.0,3.10,22.60,5.601,0.71,0.96,1.15,1.25
1845,22.58,27.94,100.0,1.0,0.50,0.60,0.80,0.90,399.0,3.12,22.58,5.606,0.71,0.96,1.14,1.24
1865,22.57,28.00,100.0,1.0,0.50,0.70,0.90,1.00,397.0,3.13,22.57,5.612,0.71,0.95,1.14,1.24
1885,22.54,28.05,100.0,1.0,0.50,0.60,0.80,0.90,397.0,3.13,22.54,5.614,0.71,0.95,1.14,1.24
1905,22.52,28.13,100.0,1.0,0.40,0.50,0.70,0.70,396.0,3.16,22.52,5.623,0.70,0.95,1.13,1.23
1925,22.51,28.20,100.0,1.0,0.40,0.50,0.70,0.70,402.0,3.18,22.51,5.634,0.70,0.94,1.13,1.22
1945,22.51,28.26,100.0,1.0,0.40,0.50,0.70,0.70,405.0,3.21,22.51,5.646,0.70,0.94,1.12,1.22
1965,22.50,28.30,100.0,1.0,0.50,0.60,0.80,0.90,406.0,3.23,22.50,5.652,0.69,0.93,1.12,1.22
1985,22.51,28.34,100.0,1.0,0.50,0.70,0.90,1.00,409.0,3.25,22.51,5.662,0.69,0.93,1.12,1.21
2005,22.51,28.36,100.0,1.0,0.50,0.70,0.90,1.00,412.0,3.26,22.51,5.666,0.69,0.93,1.11,1.21
2025,22.52,28.39,100.0,1.0,0.60,0.80,1.00,1.10,407.0,3.29,22.52,5.675,0.69,0.93,1.11,1.21
2045,22.52,28.42,101.0,1.0,0.60,0.80,1.00,1.10,406.0,3.30,22.52,5.683,0.69,0.93,1.11,1.21
2066,22.53,28.45,101.0,1.0,0.70,1.00,1.30,1.40,405.0,3.33,22.53,5.692,0.69,0.93,1.11,1.21
2086,22.55,28.47,101.0,1.0,0.70,1.00,1.30,1.40,404.0,3.35,22.55,5.701,0.69,0.93,1.12,1.21
2106,22.57,28.51,101.0,1.0,0.70,0.90,1.10,1.20,403.0,3.39,22.57,5.716,0.69,0.93,1.12,1.21
2126,22.59,28.57,102.0,1.0,0.70,0.90,1.10,1.20,404.0,3.44,22.59,5.736,0.69,0.93,1.12,1.21
2146,22.62,28.59,102.0,1.0,0.70,1.00,1.30,1.40,411.0,3.47,22.62,5.750,0.69,0.93,1.12,1.21
2166,22.64,28.61,102.0,1.0,0.80,1.10,1.40,1.50,417.0,3.50,22.64,5.759,0.69,0.93,1.12,1.22
2186,22.67,28.96,122.0,1.0,0.80,1.10,1.40,1.50,442.0,3.70,22.67,5.839,0.69,0.93,1.12,1.22
20,25.74,25.19,0.0,0.0,2.30,2.80,3.10,3.20,643.0,4.32,25.74,6.043,2.30,2.80,3.10,3.20
40,24.74,25.13,0.0,0.0,2.10,2.50,2.80,3.00,554.0,3.45,24.74,5.700,2.20,2.65,2.95,3.10
60,23.50,25.53,21.0,1.0,1.80,2.20,2.50,2.60,543.0,2.63,23.50,5.399,2.07,2.50,2.80,2.93
80,23.08,27.94,58.0,1.0,1.50,1.90,2.10,2.20,537.0,3.54,23.08,5.767,1.92,2.35,2.62,2.75
100,22.97,28.66,74.0,1.0,1.40,1.70,2.00,2.10,531.0,3.80,22.97,5.877,1.82,2.22,2.50,2.62
1765399079,22.87,28.32,73.0,1.0,1.30,1.60,1.90,2.00,524.0,3.55,22.87,5.776,1.73,2.12,2.40,2.52
1765399099,22.76,28.50,80.0,1.0,1.20,1.50,1.70,1.80,517.0,3.55,22.76,5.778,1.66,2.03,2.30,2.41
